token	duration	length	syllaType	position	speaker	sanoiDur	vcdDur
j10.1	86	short vowel	GV	nonfinal	Speaker #1	419	86
j10.2	169	long vowel	CVN	nonfinal	Speaker #1	392	169
j10.3	231	long vowel	CV	final	Speaker #1	416	203
j10.4	206	long vowel	V	final	Speaker #1	371	214
j10.5	176	long vowel	GV	nonfinal	Speaker #1	393	176
j10.6	194	long vowel	CV	nonfinal	Speaker #1	423	194
j10.7	231	long vowel	V	final	Speaker #1	419	218
j10.8	238	long vowel	V	final	Speaker #1	372	197
j10.9	61	short vowel	CV	nonfinal	Speaker #1	393	61
j10.10	210	long vowel	CVN	final	Speaker #1	394	210
j10.11	167	short vowel	GV	final	Speaker #1	389	88
s1.1	122	short vowel	CV	final	Speaker #2	442	48
s1.2	122	short vowel	GV	final	Speaker #2	482	65
s1.3	133	long vowel	GV	nonfinal	Speaker #2	433	133
s1.4	178	long vowel	CV	nonfinal	Speaker #2	387	178
s1.5	81	short vowel	V	nonfinal	Speaker #2	429	81
s1.6	137	short vowel	GV	final	Speaker #2	475	75
s1.7	99	short vowel	V	final	Speaker #2	490	60
s1.8	130	short vowel	V	final	Speaker #2	421	101
s1.9	201	long vowel	CVN	nonfinal	Speaker #2	460	201
s1.10	141	long vowel	CV	nonfinal	Speaker #2	479	141
s1.11	256	long vowel	V	final	Speaker #2	402	170
s1.12	74	short vowel	V	nonfinal	Speaker #2	379	74
s1.13	200	long vowel	CV	final	Speaker #2	394	179
s1.14	43	short vowel	GV	nonfinal	Speaker #2	390	43
s1.15	146	long vowel	CV	nonfinal	Speaker #2	409	146
s1.16	147	long vowel	CVN	nonfinal	Speaker #2	404	147
s1.17	191	long vowel	CVN	final	Speaker #2	380	191
s1.18	183	long vowel	GV	final	Speaker #2	416	179
s1.19	126	short vowel	GV	final	Speaker #2	402	83
s1.20	116	short vowel	CVN	final	Speaker #2	438	116
s2.1	57	short vowel	CVN	nonfinal	Speaker #2	395	57
s2.2	183	long vowel	V	nonfinal	Speaker #2	339	183
s2.3	58	short vowel	CV	nonfinal	Speaker #2	347	58
s2.4	63	short vowel	CV	nonfinal	Speaker #2	377	63
s2.5	214	long vowel	CVN	final	Speaker #2	430	214
s2.6	196	long vowel	CVN	final	Speaker #2	434	196
s2.7	194	long vowel	V	nonfinal	Speaker #2	417	194
s2.8	96	short vowel	CVN	final	Speaker #2	507	96
s2.9	270	long vowel	GV	final	Speaker #2	467	203
s2.10	117	short vowel	V	final	Speaker #2	389	81
s2.11	276	long vowel	V	final	Speaker #2	496	272
s2.12	61	short vowel	CV	nonfinal	Speaker #2	405	61
s2.13	106	short vowel	CV	final	Speaker #2	372	61
s2.14	181	long vowel	GV	nonfinal	Speaker #2	487	181
s2.15	160	long vowel	GV	nonfinal	Speaker #2	425	160
s2.16	189	long vowel	V	nonfinal	Speaker #2	418	189
s2.17	242	long vowel	V	final	Speaker #2	451	211
s2.18	134	short vowel	V	final	Speaker #2	455	64
s2.19	66	short vowel	GV	final	Speaker #2	427	65
s2.20	257	long vowel	CV	final	Speaker #2	395	219
s3.1	160	short vowel	V	final	Speaker #2	488	79
s3.2	97	short vowel	GV	nonfinal	Speaker #2	396	97
s3.3	91	short vowel	V	nonfinal	Speaker #2	461	91
s3.4	193	long vowel	CVN	nonfinal	Speaker #2	426	193
s3.5	111	short vowel	CVN	final	Speaker #2	364	111
s3.6	157	short vowel	GV	final	Speaker #2	392	80
s3.7	117	short vowel	GV	final	Speaker #2	345	45
s3.8	109	short vowel	CV	final	Speaker #2	416	68
s3.9	260	long vowel	GV	final	Speaker #2	510	170
s3.10	193	long vowel	V	nonfinal	Speaker #2	422	193
s3.11	141	short vowel	GV	final	Speaker #2	376	95
s3.12	176	long vowel	GV	nonfinal	Speaker #2	395	176
s3.13	102	short vowel	CVN	final	Speaker #2	402	102
s3.14	285	long vowel	CV	final	Speaker #2	393	201
s3.15	53	short vowel	GV	nonfinal	Speaker #2	333	53
s3.16	141	long vowel	CV	nonfinal	Speaker #2	391	141
s3.17	112	short vowel	CVN	nonfinal	Speaker #2	379	112
s3.18	127	short vowel	V	final	Speaker #2	378	88
s3.19	239	long vowel	V	final	Speaker #2	488	206
s3.20	54	short vowel	GV	nonfinal	Speaker #2	515	54
s4.1	60	short vowel	CV	nonfinal	Speaker #2	460	60
s4.2	158	long vowel	CV	nonfinal	Speaker #2	385	158
s4.3	241	long vowel	CV	final	Speaker #2	381	162
s4.4	108	short vowel	V	nonfinal	Speaker #2	390	108
s4.5	171	long vowel	V	nonfinal	Speaker #2	387	171
s4.6	153	long vowel	CVN	nonfinal	Speaker #2	368	153
s4.7	193	short vowel	GV	final	Speaker #2	389	102
s4.8	330	long vowel	V	final	Speaker #2	378	247
s4.9	97	short vowel	V	nonfinal	Speaker #2	394	97
s4.10	69	short vowel	CVN	nonfinal	Speaker #2	350	69
s4.11	62	short vowel	GV	nonfinal	Speaker #2	334	62
s4.12	215	long vowel	CVN	final	Speaker #2	378	215
s4.13	142	long vowel	CVN	nonfinal	Speaker #2	406	142
s4.14	57	short vowel	GV	nonfinal	Speaker #2	414	57
s4.15	76	short vowel	CVN	nonfinal	Speaker #2	366	76
s4.16	123	long vowel	CV	nonfinal	Speaker #2	401	123
s4.17	80	short vowel	V	nonfinal	Speaker #2	397	80
s4.18	93	short vowel	CV	final	Speaker #2	385	54
s4.19	85	short vowel	V	nonfinal	Speaker #2	396	85
s4.20	321	long vowel	GV	final	Speaker #2	403	248
s4.21	230	long vowel	GV	final	Speaker #2	301	207
s5.1	154	short vowel	CV	final	Speaker #2	345	58
s5.2	153	long vowel	GV	nonfinal	Speaker #2	333	153
s5.3	249	long vowel	GV	final	Speaker #2	363	166
s5.4	50	short vowel	CVN	nonfinal	Speaker #2	383	50
s5.5	166	long vowel	CV	nonfinal	Speaker #2	350	166
s5.6	168	long vowel	CV	nonfinal	Speaker #2	506	168
s5.7	164	long vowel	CVN	nonfinal	Speaker #2	349	164
s5.8	192	long vowel	CVN	nonfinal	Speaker #2	397	192
s5.9	137	long vowel	GV	nonfinal	Speaker #2	378	137
s5.10	79	short vowel	CVN	final	Speaker #2	356	79
s5.11	161	short vowel	V	nonfinal	Speaker #2	422	161
s5.12	138	long vowel	V	nonfinal	Speaker #2	313	138
s5.13	129	short vowel	CVN	final	Speaker #2	370	129
s5.14	122	short vowel	GV	nonfinal	Speaker #2	311	122
s5.15	61	short vowel	CV	nonfinal	Speaker #2	378	61
s5.16	166	long vowel	GV	nonfinal	Speaker #2	448	166
s5.17	105	short vowel	CVN	final	Speaker #2	408	105
s5.18	79	short vowel	V	nonfinal	Speaker #2	339	79
s5.19	202	short vowel	V	final	Speaker #2	365	93
s5.20	63	short vowel	GV	nonfinal	Speaker #2	414	63
s6.1	256	long vowel	CV	final	Speaker #2	420	164
s6.2	208	long vowel	CVN	final	Speaker #2	353	208
s6.3	231	long vowel	CV	final	Speaker #2	331	127
s6.4	267	long vowel	CV	final	Speaker #2	387	190
s6.5	153	long vowel	CVN	final	Speaker #2	346	153
s6.6	93	short vowel	CV	final	Speaker #2	339	73
s6.7	240	long vowel	GV	final	Speaker #2	382	175
s6.8	249	long vowel	V	final	Speaker #2	346	163
s6.9	156	long vowel	V	nonfinal	Speaker #2	374	156
s6.10	147	long vowel	CV	nonfinal	Speaker #2	358	147
s6.11	82	short vowel	V	nonfinal	Speaker #2	344	82
s6.12	85	short vowel	CV	nonfinal	Speaker #2	406	85
s6.13	182	long vowel	CVN	nonfinal	Speaker #2	322	182
s6.15	164	long vowel	CVN	nonfinal	Speaker #2	374	164
s6.15	113	short vowel	CV	final	Speaker #2	387	60
s6.16	86	short vowel	CVN	final	Speaker #2	352	86
s6.17	137	short vowel	CV	final	Speaker #2	330	78
s6.18	87	short vowel	CVN	nonfinal	Speaker #2	354	87
s6.19	51	short vowel	CV	nonfinal	Speaker #2	339	51
s6.20	147	long vowel	V	nonfinal	Speaker #2	342	147
s7.1	230	long vowel	CVN	final	Speaker #2	388	230
s7.2	92	short vowel	CVN	final	Speaker #2	407	92
s7.3	149	short vowel	V	final	Speaker #2	367	69
s7.4	114	short vowel	CV	final	Speaker #2	359	61
s7.5	151	long vowel	CVN	nonfinal	Speaker #2	346	151
s7.6	162	short vowel	GV	final	Speaker #2	367	83
s7.7	279	long vowel	GV	final	Speaker #2	374	231
s7.8	290	long vowel	GV	final	Speaker #2	355	214
s7.9	156	long vowel	CV	nonfinal	Speaker #2	314	156
s7.10	202	short vowel	V	final	Speaker #2	337	114
s7.11	178	long vowel	GV	nonfinal	Speaker #2	357	178
s7.12	189	long vowel	V	nonfinal	Speaker #2	378	189
s7.13	176	short vowel	V	final	Speaker #2	388	118
s7.14	285	long vowel	V	final	Speaker #2	338	174
s7.15	193	long vowel	CVN	final	Speaker #2	375	193
s7.16	117	short vowel	CVN	nonfinal	Speaker #2	380	117
s7.17	102	short vowel	CVN	nonfinal	Speaker #2	389	102
s7.18	222	long vowel	GV	final	Speaker #2	354	216
s7.19	41	short vowel	CV	nonfinal	Speaker #2	357	41
s7.20	193	long vowel	V	nonfinal	Speaker #2	334	193
s8.1	138	long vowel	GV	nonfinal	Speaker #2	387	138
s8.2	99	short vowel	CV	final	Speaker #2	359	55
s8.3	63	short vowel	V	nonfinal	Speaker #2	393	63
s8.4	40	short vowel	CV	nonfinal	Speaker #2	392	40
s8.5	68	short vowel	CVN	nonfinal	Speaker #2	374	68
s8.6	205	long vowel	CVN	final	Speaker #2	353	205
s8.7	278	long vowel	GV	final	Speaker #2	323	212
s8.8	293	long vowel	GV	final	Speaker #2	309	197
s8.9	154	short vowel	V	final	Speaker #2	358	96
s8.10	295	long vowel	V	final	Speaker #2	383	246
s8.11	41	short vowel	CV	nonfinal	Speaker #2	341	40
s8.12	213	long vowel	CV	final	Speaker #2	347	180
s8.13	190	short vowel	GV	final	Speaker #2	348	99
s8.14	131	short vowel	GV	final	Speaker #2	329	105
s8.15	127	long vowel	GV	nonfinal	Speaker #2	343	127
s8.16	81	short vowel	V	nonfinal	Speaker #2	331	81
s8.17	147	short vowel	CV	final	Speaker #2	394	86
s8.18	76	short vowel	CVN	nonfinal	Speaker #2	350	76
s8.19	81	short vowel	CVN	nonfinal	Speaker #2	279	81
s8.20	57	short vowel	GV	nonfinal	Speaker #2	382	57
s9.1	109	short vowel	CV	final	Speaker #2	343	56
s9.2	69	short vowel	CVN	final	Speaker #2	390	69
s9.3	104	short vowel	CVN	final	Speaker #2	339	104
s9.4	92	short vowel	CVN	final	Speaker #2	358	92
s9.5	67	short vowel	GV	nonfinal	Speaker #2	370	67
s9.6	160	long vowel	V	nonfinal	Speaker #2	337	160
s9.7	188	long vowel	CVN	final	Speaker #2	380	188
s9.8	176	long vowel	V	nonfinal	Speaker #2	322	176
s9.9	152	long vowel	CVN	nonfinal	Speaker #2	365	152
s9.10	320	long vowel	V	final	Speaker #2	335	239
